image_path,caption_id,caption_text
images/3910563.jpg,dd1e6558-0e96-4b6e-a645-9aad4bfb16cb,an image of a man in a coat and hat [SEP]
images/3910547.jpg,2e51053d-9bb0-4ed5-862a-9fc0f82090e7,an image of a cartoon of a woman being carried by a man [SEP]
images/3910553.jpg,0509817d-4293-47fe-894f-9c047c18f78b,an image of a group of people playing cards [SEP]
images/3910433.jpg,63aa1f5e-08a4-45ab-bdba-85dc30b0d1a1,an image of a man in a hat and coat [SEP]
images/3910427.jpg,bf4a01a9-8172-4d46-a519-50758d90403e,an image of a man on a horse with a sword [SEP]
images/3910431.jpg,92a0c2a6-69ca-4390-b888-26576702bb42,an image of a man in a black and white dress [SEP]
images/3910425.jpg,d00b1d77-9e53-4fc1-ac9e-a82c5c7c5868,an image of a woman holding a sword [SEP]
images/3910545.jpg,d3445ce4-3cae-49c6-8b5c-a477031c37c2,an image of a cartoon depicting a man being attacked by a dragon [SEP]
images/3910551.jpg,541f19cf-6a9f-4dd3-bcaf-193b5e872ddf,an image of a man being taken from a book [SEP]
images/3983670.jpg,fd1a5852-7acf-45ae-9d7f-7f822a185305,an image of two men in a room [SEP]
images/3910555.jpg,128aec6d-0b00-48fe-bb0c-08bc6b0112ef,an image of a man being taken from a statue [SEP]
images/3910541.jpg,206acfc2-c145-4a8f-9330-1083b3e20876,an image of a woman in a dress [SEP]
images/3910435.jpg,a42e94cd-c8ee-4700-95a6-07b50cbbf4c1,an image of a cartoon character in a bucket [SEP]
images/3910437.jpg,cf006e7a-3625-4ab2-a6c3-0360f627e4b5,an image of a man in a suit and tie [SEP]
images/3910557.jpg,6f61728f-a481-459c-a220-5950089a20d6,an image of a cartoon character in a cartoon [SEP]
images/3910543.jpg,ea1cbeaa-64f0-4091-a00e-08c2f293292e,an image of a drawing of a battle [SEP]
images/3910479.jpg,951f1630-159a-4c5d-bb1b-0d8b29e674e4,an image of two men sitting at a table [SEP]
images/3910445.jpg,f09000a3-230f-4ea7-998d-8f9288430874,an image of a building with people walking around it [SEP]
images/3910451.jpg,db028c92-1cba-4d11-8a5d-3593145019c9,an image of a man being taken from a table [SEP]
images/3910519.jpg,dbe73a19-30d9-4f48-aa43-3526922e2c8e,an image of a man on a horse [SEP]
images/3910525.jpg,fdefc314-0842-4346-b52a-a4880a6ddd79,an image of a painting of a group of people [SEP]
images/3910493.jpg,8243cd6f-53e6-42a6-9fcf-9782d7ba1381,an image of a group of people in a park [SEP]
images/3910487.jpg,568657c2-2a30-4010-9af9-79f6a9d25e25,an image of a man on a ball [SEP]
images/3910491.jpg,e395fba0-0a7e-47cb-81f0-63eac20e284e,an image of a group of people in a room [SEP]
images/3910485.jpg,1017819d-5eed-4854-aac7-3b700b0b2cd4,an image of a man and woman sitting in a room [SEP]
images/3910533.jpg,3263d349-9299-49d5-9187-e564a1452a09,an image of a woman sitting at a table [SEP]
images/3910527.jpg,402bce0c-d7ff-4cf4-95a1-1760c88a1f1a,an image of a man with long hair [SEP]
images/3910447.jpg,811a601c-4282-415a-aba1-c13886d30cfd,an image of a building with a tower [SEP]
images/3910453.jpg,897f2fcc-ad5b-4146-a618-1814161d5ad4,an image of a man in a black and white dress [SEP]
images/3910457.jpg,cc7d63b1-d890-488e-99f4-d1721a0d591d,an image of a woman in a dress and a man in a hat on a horse [SEP]
images/3910443.jpg,ab8dff01-a702-4dad-9266-e2bcfcbb83fe,an image of a man being taken from a bed [SEP]
images/3910523.jpg,6f73e638-4515-409d-9465-dff4c80842e9,an image of a man being a woman [SEP]
images/3910537.jpg,d04b144f-b22e-48a1-9b51-f10a7456aca1,an image of a woman with a dog [SEP]
images/3910481.jpg,e8f54770-36dc-499d-979a-e898b455daa3,an image of a building with a boat in the water [SEP]
images/3910495.jpg,99e166e2-78ba-4de5-ab6b-d185856b68be,an image of a man and woman in a circle [SEP]
images/3910483.jpg,0715559b-a142-4910-b35c-1244a7d19c69,an image of a man on a camel being led by a man on a horse [SEP]
images/3910497.jpg,10aa54eb-448d-4881-af4c-e3c1078dbea7,an image of a man and woman in a victorian dress [SEP]
images/3910509.jpg,2091ab5e-b4ae-4240-82dd-71e55871dba9,an image of a man and woman sitting on a couch [SEP]
images/3910521.jpg,b29d8367-8ffc-4723-b4b5-a3c977922af5,an image of a man being taken from a manger [SEP]
images/3910535.jpg,c2eb6a58-7b63-4f24-9960-318a4d1d1bf1,an image of a man in a suit and hat [SEP]
images/3910469.jpg,2f72c100-cd7b-47c1-995b-6a5ac64cf7d5,an image of a city with a clock tower [SEP]
images/3910455.jpg,142476fa-a210-43de-9295-09056260dd42,an image of two men standing next to each other man [SEP]
images/3910441.jpg,afd7c4c7-0aca-4f0f-ac97-f3ba47459114,an image of a woman sitting on a bench with an umbrella [SEP]
